street_edge_id,region_id
349419,30
349423,30
349439,30
349445,30
349472,30
349479,30
349484,30
349488,30
349490,30
349509,30
349517,30
349538,30
349545,30
349548,30
349570,30
349573,30
349574,30
349583,30
349591,30
349592,30
349601,30
349624,30
349631,30
349634,30
349932,30
349935,30
351465,30
351481,30
351484,30
351485,30
351490,30
351493,30
351520,30
351521,30
351534,30
351543,30
351546,30
351567,30
351578,30
351590,30
351592,30
351593,30
351602,30
351604,30
351611,30
351613,30
351628,30
351642,30
351653,30
351668,30
351669,30
351676,30
351688,30
351691,30
351711,30
351714,30
351716,30
351723,30
352887,30
352907,30
352910,30
353269,30
353276,30
353288,30
353292,30
353296,30
353297,30
353299,30
353317,30
353339,30
353341,30
353343,30
353351,30
353359,30
353363,30
353391,30
353395,30
353401,30
353402,30
353409,30
353420,30
353445,30
353449,30
353460,30
353470,30
353484,30
353495,30
353505,30
353511,30
353519,30
353522,30
353524,30
353525,30
353532,30
353557,30
353564,30
353569,30
353574,30
353585,30
353603,30
353611,30
353617,30
353621,30
353623,30
353625,30
353631,30
353638,30
353641,30
353658,30
353661,30
353662,30
353663,30
353665,30
353680,30
353682,30
353685,30
353686,30
353689,30
353693,30
353702,30
353712,30
353721,30
353728,30
353729,30
353730,30
353731,30
353733,30
353735,30
353736,30
353738,30
353740,30
353741,30
353745,30
353747,30
353749,30
353751,30
353757,30
353763,30
353770,30
353779,30
353781,30
353784,30
353792,30
353796,30
353797,30
353799,30
353800,30
353803,30
353808,30
353810,30
353813,30
353821,30
353824,30
353827,30
353846,30
353853,30
353862,30
353865,30
353871,30
353877,30
353881,30
353884,30
353885,30
353887,30
353896,30
353900,30
353906,30
353915,30
353916,30
353921,30
353923,30
353924,30
353936,30
353937,30
353939,30
353955,30
353961,30
353968,30
353972,30
353975,30
353976,30
354003,30
354004,30
354012,30
354021,30
354026,30
354031,30
354035,30
354036,30
354037,30
354042,30
354045,30
354048,30
354053,30
354056,30
354058,30
354064,30
354076,30
354080,30
354081,30
354084,30
354090,30
354091,30
354092,30
354101,30
354102,30
354107,30
354110,30
354113,30
354114,30
354125,30
354128,30
354131,30
354135,30
354136,30
354143,30
354153,30
354154,30
354161,30
354162,30
354167,30
354172,30
354182,30
354185,30
354194,30
354195,30
354206,30
354207,30
354216,30
354218,30
354219,30
354227,30
354232,30
354239,30
354240,30
